country,country_num,year,iso3,devlev2,china,bndgrn,x1l,x2l,envtax,gdpg,bigtech,ngain,rating,riskeqt,riskctr,dum9,dum12,fie,cbmndsq,cbmnd,cbenfsq,cbenf,cbsyssq,cbsys,wui,gprlog,infl,enrgoil,prodstr,hierarchy,openness,purity,bndgrn_bet,cbmnd_bet,infl_bet,rating_bet,fie_bet,gdpg_bet,dum9_bet,dum12_bet,bndgrn_wi,cbmnd_wi,infl_wi,rating_wi,fie_wi,gdpg_wi,dum9_wi,dum12_wi,bndgrn_fd,cbmnd_fd,infl_fd,rating_fd,fie_fd,gdpg_fd,dum9_fd,dum12_fd,bndgrn_twfe,cbmnd_twfe,infl_twfe,rating_twfe,fie_twfe,gdpg_twfe,dum9_twfe,dum12_twfe
Finland,Finland,2017,FIN,High income,0,0.2477823048830032,,0.247782289981842,2.9575653486135,3.192409629684164,0.0099999997764825,73.6507690383366,4.0,0.0553761185648135,0.0045761185648135,1,1,0.9017787373065947,25.0,5.0,36.0,6.0,1.0,1.0,0.0710000023245811,4.800258159637451,0.6600000262260437,33.78200149536133,-0.4725232422351837,1.8,50.33,0.139486,0.2846443578600884,5.0,0.8933333357175192,4.0,0.9164222094455721,1.162993649820274,1.0,1.0,-0.0368620529770852,0.0,-0.23333330949147546,0.0,-0.01464347213897732,2.0294159798638898,0.0,0.0,0.2477823048830032,0.0,-0.2999999523162843,0.0,0.017681936025619405,0.38095186304982986,0.0,0.0,,,,,,,,
Finland,Finland,2018,FIN,High income,0,-2.178506374359131,,-2.178506374359131,2.9331643079678,1.31183505301739,0.0099999997764825,73.457203182729,4.0,0.0651094863738849,0.0055094863738849,1,1,0.9198143120527268,25.0,5.0,36.0,6.0,1.0,1.0,0.0764999985694885,5.035384178161621,0.6800000071525574,32.95299911499023,-0.4643401801586151,1.8,50.33,0.139486,0.2846443578600884,5.0,0.8933333357175192,4.0,0.9164222094455721,1.162993649820274,1.0,1.0,-2.463150732219219,0.0,-0.2133333285649618,0.0,0.0033921026071547233,0.14884140319711592,0.0,0.0,-2.426288679242134,0.0,0.019999980926513672,0.0,0.018035574746132044,-1.880574576666774,0.0,0.0,,,,,,,,
Finland,Finland,2019,FIN,High income,0,1.111011147499084,,1.111011028289795,2.8058970571155,1.272842505545583,0.0099999997764825,73.2874554452619,4.0,0.0559148673164471,0.0039148673164471,1,1,0.9382105982937814,25.0,5.0,36.0,6.0,1.0,1.0,0.3989999890327454,5.07627010345459,0.8299999833106995,33.39599990844727,-0.4286024272441864,1.8,50.33,0.139486,0.2846443578600884,5.0,0.8933333357175192,4.0,0.9164222094455721,1.162993649820274,1.0,1.0,0.8263667896389957,0.0,-0.0633333524068197,0.0,0.021788388848209328,0.109848855725309,0.0,0.0,3.289517521858215,0.0,0.1499999761581421,0.0,0.018396286241054605,-0.038992547471806915,0.0,0.0,,,,,,,,
Finland,Finland,2020,FIN,High income,0,1.132559180259705,,1.132559180259705,2.7498123880494,-2.773576705780101,,,4.0,0.0510444022930893,0.0038444022930893,1,1,0.9382105982937814,25.0,5.0,36.0,6.0,1.0,1.0,0.4555000066757202,5.258591651916504,0.5,31.27000045776367,-0.4352212846279144,1.8,50.33,0.139486,0.2846443578600884,5.0,0.8933333357175192,4.0,0.9164222094455721,1.162993649820274,1.0,1.0,0.8479148223996167,0.0,-0.39333333571751916,0.0,0.021788388848209328,-3.9365703556003746,0.0,0.0,0.021548032760621005,0.0,-0.32999998331069946,0.0,0.0,-4.046419211325684,0.0,0.0,,,,,,,,
Finland,Finland,2021,FIN,High income,0,1.395019888877869,,1.395020008087158,2.832306759690882,,,,4.0,0.0463255209825051,0.0039255209825051,1,1,,25.0,5.0,36.0,6.0,1.0,1.0,0.2747499942779541,5.353901863098145,1.730000019073486,30.22699928283691,-0.4701087772846222,1.8,50.33,0.139486,0.2846443578600884,5.0,0.8933333357175192,4.0,0.9164222094455721,1.162993649820274,1.0,1.0,1.1103755310177807,0.0,0.836666683355967,0.0,,,0.0,0.0,0.26246070861816406,0.0,1.230000019073486,0.0,,,0.0,0.0,,,,,,,,
France,France,2012,FRA,High income,0,-0.4301760196685791,,-0.4301759898662567,2.2594270376455,0.3131347510771718,,68.3167548177025,4.0,0.06175,0.00375,1,1,0.8403748273849487,16.0,4.0,36.0,6.0,4.0,2.0,0.3822500109672546,3.984878540039063,1.350000023841858,32.15900039672852,0.6000901460647583,2.21,48.09,0.083645,2.3390077710151673,4.0,1.6809999614953994,4.0,0.8716955239654117,0.17022134184939514,1.0,1.0,-2.7691837906837464,0.0,-0.3309999376535415,0.0,-0.03132069658046299,0.14291340922777668,0.0,0.0,,,,,,,,,,,,,,,,
France,France,2013,FRA,High income,0,0.7895404100418091,,0.7895404100418091,2.3485480689699,0.5763266747717921,0.0099999997764825,68.2085455609317,4.0,0.056,0.006,1,1,0.8497375249862671,16.0,4.0,36.0,6.0,4.0,2.0,0.2944999933242798,4.207582473754883,0.8700000047683716,31.4060001373291,0.6025570631027222,2.21,48.09,0.083645,2.3390077710151673,4.0,1.6809999614953994,4.0,0.8716955239654117,0.17022134184939514,1.0,1.0,-1.5494673609733582,0.0,-0.8109999567270278,0.0,-0.021957998979144633,0.406105332922397,0.0,0.0,1.2197164297103882,0.0,-0.48000001907348633,0.0,0.00936269760131836,0.2631919236946203,0.0,0.0,,,,,,,,
France,France,2014,FRA,High income,0,1.884199738502502,,1.884199857711792,2.3045308625298,0.9561830523715572,0.0099999997764825,68.7767176588157,4.0,0.0635,0.006,1,1,0.8391518592834473,16.0,4.0,36.0,6.0,4.0,2.0,0.1934999972581863,4.438490390777588,1.0,31.7180004119873,0.6068841814994812,2.21,48.09,0.083645,2.3390077710151673,4.0,1.6809999614953994,4.0,0.8716955239654117,0.17022134184939514,1.0,1.0,-0.45480803251266533,0.0,-0.6809999614953994,0.0,-0.03254366468196446,0.7859617105221621,0.0,0.0,1.094659328460693,0.0,0.12999999523162842,0.0,-0.010585665702819824,0.3798563775997651,0.0,0.0,,,,,,,,
France,France,2015,FRA,High income,0,2.222941637039185,,2.222941637039185,2.4178141243738,1.112912340574695,0.0099999997764825,68.6973625318482,4.0,0.07034,0.00784,1,1,0.8507550358772278,16.0,4.0,36.0,6.0,4.0,2.0,0.2527500092983246,4.813110828399658,0.550000011920929,31.5310001373291,0.5928705334663391,2.21,48.09,0.083645,2.3390077710151673,4.0,1.6809999614953994,4.0,0.8716955239654117,0.17022134184939514,1.0,1.0,-0.11606613397598231,0.0,-1.1309999495744705,0.0,-0.02094048808818394,0.9426909987252998,0.0,0.0,0.338741898536683,0.0,-0.44999998807907104,0.0,0.011603176593780518,0.1567292882031378,0.0,0.0,,,,,,,,
France,France,2016,FRA,High income,0,1.840361714363098,,1.840361714363098,2.4680312294729,1.095464403720484,0.0099999997764825,68.0836229582114,4.0,0.0639531279851984,0.0070531279851984,1,1,0.8615471720695496,16.0,4.0,36.0,6.0,4.0,2.0,0.1412499994039536,4.723831653594971,0.4199999868869781,31.84900093078613,0.6231346130371094,2.21,48.09,0.083645,2.3390077710151673,4.0,1.6809999614953994,4.0,0.8716955239654117,0.17022134184939514,1.0,1.0,-0.4986460566520694,0.0,-1.2609999746084213,0.0,-0.010148351895862162,0.9252430618710887,0.0,0.0,-0.3825799226760871,0.0,-0.13000002503395086,0.0,0.010792136192321777,-0.017447936854211088,0.0,0.0,,,,,,,,
