country,country_num,year,iso3,devlev2,china,bndgrn,x1l,x2l,envtax,gdpg,bigtech,ngain,rating,riskeqt,riskctr,dum9,dum12,fie,cbmndsq,cbmnd,cbenfsq,cbenf,cbsyssq,cbsys,wui,gprlog,infl,enrgoil,prodstr,hierarchy,openness,purity
Spain,Spain,2014,ESP,High income,0,0.1823348850011826,,0.1823349148035049,,1.383907942670291,0.009999999776482582,62.3279119743926,3.0,0.086,0.0285,1,1,0.8607617020606995,9.0,3.0,36.0,6.0,1.0,1.0,0.1274999976158142,4.438490390777588,-0.05000000074505806,43.93899917602539,0.4156625270843506,1.84,49.64,0.177078
Spain,Spain,2016,ESP,High income,0,-0.1122763752937317,,-0.1122763529419899,1.86489980607628,3.031301329819328,0.009999999776482582,62.6318561733683,3.0,0.08395836372503415,0.02705836372503415,1,1,0.842832088470459,9.0,3.0,36.0,6.0,1.0,1.0,0.4135000109672546,4.723831653594971,0.8399999737739563,45.92599868774414,0.3601317405700684,1.84,49.64,0.177078
Spain,Spain,2017,ESP,High income,0,1.148581385612488,,1.148581504821777,1.84194920761154,2.973641190537307,0.009999999776482582,62.9343201293013,3.0,0.07274456857217394,0.02194456857217394,1,1,0.8596887302398681,9.0,3.0,36.0,6.0,1.0,1.0,0.343500018119812,4.800258159637451,1.129999995231628,45.64300155639648,0.3489881455898285,1.84,49.64,0.177078
Spain,Spain,2018,ESP,High income,0,1.284198760986328,,1.284198760986328,1.83468397078268,2.430047145468706,0.009999999776482582,62.8110359874772,3.0,0.08176316109494633,0.02216316109494632,1,1,0.8768825048446656,9.0,3.0,36.0,6.0,1.0,1.0,0.2944999933242798,5.035384178161621,0.9300000071525574,45.69499969482422,0.3544943034648895,1.84,49.64,0.177078
Spain,Spain,2019,ESP,High income,0,2.131849765777588,,2.131849527359009,1.88972448990616,1.950126894450463,0.009999999776482582,62.7250964111083,3.0,0.06774844352298057,0.01574844352298058,1,1,0.8944201549415589,9.0,3.0,36.0,6.0,1.0,1.0,0.4435000121593475,5.07627010345459,0.9599999785423279,47.04899978637695,0.3863908648490906,1.84,49.64,0.177078
Spain,Spain,2020,ESP,High income,0,2.280296325683594,,2.280296325683594,1.946416224603345,-10.83894733932551,,,3.0,0.06266498195174562,0.01546498195174563,1,1,0.8944201549415589,9.0,3.0,36.0,6.0,1.0,1.0,0.293749988079071,5.258591651916504,0.5699999928474426,42.72999954223633,0.3918253481388092,1.84,49.64,0.177078
Spain,Spain,2021,ESP,High income,0,2.964090824127197,1.733517050743103,3.220378875732422,2.004808711341446,,,,3.0,0.05819130031598666,0.01579130031598666,1,1,,9.0,3.0,36.0,6.0,1.0,1.0,0.1344999969005585,5.353901863098145,0.5699999928474426,43.82400131225586,0.309016227722168,1.84,49.64,0.177078
Sweden,Sweden,2013,SWE,High income,0,-1.641698718070984,,-1.641698718070984,2.3308816119858,1.187775715906,0.009999999776482582,73.2642904001911,4.0,0.05,0.01,1,1,0.8377108573913574,,,,,,,0.2360000014305115,4.207582473754883,-0.239999994635582,26.84099960327148,0.08301234245300293,1.83,,0.164265
Sweden,Sweden,2014,SWE,High income,0,0.4293782413005829,,0.4293782114982605,2.1735033698867,2.657798275316424,0.009999999776482582,73.4476102945287,4.0,0.0575,0.01,1,1,0.8306769132614136,,,,,,,0.4192500114440918,4.438490390777588,-0.01999999955296516,26.39200019836426,0.1310957223176956,1.83,,0.164265
Sweden,Sweden,2015,SWE,High income,0,0.4916513562202454,,0.4916514158248901,2.1807677026704,4.489281587904912,0.009999999776482582,73.6498434714785,4.0,0.0625,0.01,1,1,0.8363618850708008,,,,,,,0.3627499938011169,4.813110828399658,0.01999999955296516,25.03499984741211,0.09253782778978348,1.83,,0.164265
Sweden,Sweden,2016,SWE,High income,0,1.305533766746521,,1.305533766746521,2.2200086473751,2.070593150520963,0.009999999776482582,72.9234302065986,4.0,0.0569,0.01,1,1,0.8327833414077759,,,,,,,0.3427500128746033,4.723831653594971,0.8999999761581421,26.32500076293945,0.1092537865042686,1.83,,0.164265
Sweden,Sweden,2017,SWE,High income,0,1.546806216239929,,1.546806216239929,2.1318446197942,2.567924525264758,0.009999999776482582,72.7444304351184,4.0,0.0508,0.01,1,1,0.8494390082359314,,,,,,,0.1352500021457672,4.800258159637451,1.370000004768372,25.23699951171875,0.07062209397554398,1.83,,0.164265
Sweden,Sweden,2018,SWE,High income,0,1.967825889587402,,1.967826008796692,2.0792239217312,1.950022845699834,0.009999999776482582,72.4454437854729,4.0,0.0596,0.01,1,1,0.86642778840065,,,,,,,0.1457500010728836,5.035384178161621,1.090000033378601,24.60300064086914,0.08463657647371292,1.83,,0.164265
Sweden,Sweden,2019,SWE,High income,0,2.593931436538696,,2.593931436538696,2.062306486508,1.369856988795192,0.009999999776482582,72.1972553058728,4.0,0.052,0.01,1,1,0.8837563441686631,,,,,,,0.1162500008940697,5.07627010345459,1.519999980926514,25.34499931335449,0.1140982881188393,1.83,,0.164265
Sweden,Sweden,2020,SWE,High income,0,2.725950479507446,1.448606014251709,2.971854209899902,2.0885008416321,-2.817819572425364,,,4.0,0.0472,0.01,1,1,0.8837563441686631,,,,,,,0.3770000040531158,5.258591651916504,1.190000057220459,23.77300071716309,0.1476154923439026,1.83,,0.164265
Sweden,Sweden,2021,SWE,High income,0,2.893239974975586,,2.893239974975586,2.151155866881063,,,,4.0,0.0424,0.01,1,1,,,,,,,,0.08375000208616257,5.353901863098145,1.299999952316284,23.52700042724609,0.0421929843723774,1.83,,0.164265
Switzerland,Switzerland,1992,CHE,High income,0,-2.220724105834961,,-2.220724105834961,,,,,,,,0,1,0.7727718353271484,25.0,5.0,36.0,6.0,0.0,0.0,0.07674999535083771,,1.139999985694885,45.98600006103516,,,52.62,0.246815
Switzerland,Switzerland,1993,CHE,High income,0,-1.782942891120911,,-1.782942891120911,,,,,,,,0,1,0.8275455832481384,25.0,5.0,36.0,6.0,0.0,0.0,0.09724999964237213,,3.789999961853027,43.1619987487793,,,52.62,0.246815
Switzerland,Switzerland,1994,CHE,High income,0,-2.20959210395813,,-2.20959210395813,,,,,,,,0,1,0.7782292366027832,25.0,5.0,36.0,6.0,0.0,0.0,0.0234999991953373,,1.009999990463257,42.45500183105469,,,52.62,0.246815
Switzerland,Switzerland,2002,CHE,High income,0,-2.225055694580078,,-2.225055694580078,,-0.005506462527904432,,69.4155024595189,4.0,0.0451,0.01,0,1,0.7567312717437744,25.0,5.0,36.0,6.0,0.0,0.0,0.2147499918937683,5.075892448425293,0.6299999952316284,41.52399826049805,0.4556939005851746,,52.62,0.246815
Switzerland,Switzerland,2017,CHE,High income,0,-0.2820909321308136,,-0.2820909321308136,1.3844220015835,1.584819616457381,0.009999999776482582,72.7659046750696,4.0,0.0508,0.01,0,1,0.8225748145580292,25.0,5.0,36.0,6.0,0.0,0.0,0.3557499945163727,4.800258159637451,0.2899999916553497,39.5260009765625,0.7847769260406494,,52.62,0.246815
Switzerland,Switzerland,2018,CHE,High income,0,-0.7379361987113953,,-0.7379361987113953,1.39602057084302,3.01340510154813,0.009999999776482582,72.5241389310441,4.0,0.0596,0.01,0,1,0.8390263108491898,25.0,5.0,36.0,6.0,0.0,0.0,0.2947500050067902,5.035384178161621,0.3700000047683716,37.51100158691406,0.7820630669593811,,52.62,0.246815
